id,income
50001,41267.743944216134
50002,46090.561268535843
50003,48329.329952286833
50004,46842.168362671764
50005,53605.697236189815
50006,40737.842995856219
50007,49765.116983812266
50008,41251.727600619408
50009,46299.04139154312
50010,48599.819010981832
50011,49496.48880524264
50012,49530.38605690781
50013,53641.81276351073
50014,53612.245706917965
50015,46904.347194716313
50016,48348.132677061571
50017,40804.011339586039
50018,48828.76565180967
50019,41252.349654762511
50020,34063.525635168276
50021,34492.728203554
50022,68889.390944754938
50023,48357.882129700243
50024,42023.3074147797
50025,36893.077527127469
50026,61208.650717084252
50027,53591.022476359307
50028,48698.962919442
50029,46783.554300268908
50030,41935.942310164304
50031,29248.226815932867
50032,47830.363976080014
50033,44511.922567355548
50034,41538.263870128132
50035,74770.548906329932
50036,41260.274756373983
50037,40830.748852566619
50038,41248.659703781523
50039,56186.154572156905
50040,46294.949467561382
50041,53567.065890728241
50042,40847.888203999464
50043,54598.815285540608
50044,36761.788962975872
50045,48798.596060999967
50046,46469.826925186935
50047,39304.055178398936
50048,54377.4897680517
50049,49331.710416028014
50050,63855.484197361373
50051,62105.6965575039
50052,55317.571129530363
50053,46082.06769277
50054,42026.983268699179
50055,34513.086995036625
50056,43533.556112686922
50057,41244.024640242707
50058,49541.26449513121
50059,34468.869961471224
50060,39297.2073594007
50061,39294.896350748219
50062,61198.049987680759
50063,39315.669135205346
50064,39249.076806892648
50065,46854.989258250906
50066,56532.6902014631
50067,46989.762182686318
50068,43752.920484233691
50069,36008.60127445023
50070,34497.825167424904
50071,53556.743537649956
50072,41995.348453988408
50073,41042.5628605986
50074,48790.459177729266
50075,51037.221231852309
50076,48800.994842000982
50077,33903.5941495283
50078,39533.257563590683
50079,54361.13658019252
50080,42002.67722282069
50081,46607.617358195377
50082,55233.806373027794
50083,34474.422312848284
50084,49331.710416028014
50085,40474.475070957407
50086,47073.812501540728
50087,42024.099871228005
50088,68683.8753607443
50089,46247.60431371913
50090,34447.520088799407
50091,42230.535713996353
50092,37585.174139207847
50093,52042.068039663107
50094,49017.958339771118
50095,61154.772366575555
50096,46823.7292305669
50097,44329.578295221123
50098,34497.663249888639
50099,54594.355175308447
50100,48763.6440672167
50101,41182.765834122773
50102,49780.196689030076
50103,47748.54986976122
50104,41801.564943720456
50105,53248.5105135383
50106,54377.721064938225
50107,36773.187831721167
50108,56347.561717626537
50109,41254.427941230861
50110,39530.446676703592
50111,46112.55663301453
50112,49022.806502526408
50113,55699.812916769515
50114,41265.631876819774
50115,46111.772312666631
50116,68930.197023475383
50117,41991.276898026896
50118,34481.43984338297
50119,41252.258210153544
50120,53620.360680079131
50121,48323.279211425026
50122,46120.403084244324
50123,40319.261983393451
50124,46271.476207264859
50125,57124.018422142959
50126,39300.645705341027
50127,42009.986274980663
50128,46079.109986515316
50129,43916.603897177134
50130,57302.517071284186
50131,39264.797624567684
50132,44511.922567355548
50133,48888.347338075393
50134,46058.169394259596
50135,34072.526192319165
50136,42016.178936210883
50137,26209.492689369585
50138,46807.5704707399
50139,46034.044410394781
50140,58027.385406343725
50141,34043.592289685148
50142,46143.973702188166
50143,48827.5884309893
50144,51283.06595654125
50145,54632.325365910983
50146,49023.456081737168
50147,53873.507625694947
50148,34440.702632689863
50149,21921.486150432844
50150,54363.20475646347
50151,46824.491835559711
50152,49011.568741612507
50153,39319.60111474825
50154,46151.70420471346
50155,36741.911400227887
50156,46091.886975560388
50157,41259.979482224589
50158,41807.110184652542
50159,40838.529387192619
50160,49769.417258403271
50161,40829.346691593018
50162,45794.2520101316
50163,54601.284457712478
50164,27970.889212482118
50165,48892.0531326101
50166,39397.477273397919
50167,36701.557988084867
50168,39258.47218971407
50169,39325.23035667582
50170,33912.356516709522
50171,73829.906704907859
50172,26860.925340657206
50173,42021.8596608319
50174,43752.920484233691
50175,56546.862991886257
50176,49551.282011586183
50177,46849.769565701943
50178,34468.461296626439
50179,57397.402107222071
50180,47101.608831079226
50181,53832.298228931875
50182,56433.273658220169
50183,39141.477192799619
50184,42023.027656637285
50185,54404.684334161539
50186,53614.298443592357
50187,48378.539994842358
50188,48330.212506053838
50189,41801.564943720456
50190,49027.140313743839
50191,46889.77142718844
50192,48145.612387253153
50193,33610.495784123341
50194,34495.271240488451
50195,47065.75526228646
50196,34025.032511919271
50197,58748.384637112555
50198,49030.128162843408
50199,46303.896437129013
50200,49331.710416028014
50201,74992.472179291319
50202,48200.533695986836
50203,53595.391115750215
50204,62825.32460074182
50205,41801.564943720456
50206,34032.00452485503
50207,43345.165057891565
50208,75029.667040371918
50209,43752.920484233691
50210,36981.777095047975
50211,54481.728087319425
50212,35981.718512288666
50213,44511.922567355548
50214,36021.404527982071
50215,53686.971597201737
50216,39330.58850902789
50217,53833.574482346427
50218,49013.230161936241
50219,39275.945304630011
50220,46900.485523789619
50221,49010.441817056708
50222,42053.474458563796
50223,54413.610200515119
50224,49331.710416028014
50225,43517.756404973843
50226,54315.60138133802
50227,46159.800516979514
50228,29451.63162274041
50229,42054.40221085582
50230,45762.383400854444
50231,41242.653513508172
50232,54480.500040048988
50233,34422.322383718572
50234,46379.284554446371
50235,64075.492304406434
50236,48800.279990786534
50237,46552.210509375334
50238,41493.310609429609
50239,46310.122589244493
50240,39546.544223788194
50241,62850.864149542038
50242,48572.708332906164
50243,42249.147044592486
50244,34382.139704181311
50245,39311.882223122768
50246,39484.469735536746
50247,53605.381485007121
50248,48776.862754899004
50249,41244.278750034566
50250,39338.0027525085
50251,46152.362003664661
50252,34051.720019882232
50253,52135.1447270872
50254,47060.5491617102
50255,53579.943490818674
50256,36222.775011926125
50257,53941.915325415888
50258,41258.422905720356
50259,41263.225016438773
50260,54559.313120178114
50261,31686.931025491122
50262,43546.702129579804
50263,41569.413284942944
50264,42867.074076805722
50265,61146.442577162437
50266,41228.178246555311
50267,52865.277245657067
50268,49143.3545448782
50269,53214.053980159217
50270,48258.894396233511
50271,56334.260459755278
50272,48829.54246022724
50273,53613.162184031367
50274,34047.497616713292
50275,46815.770261748949
50276,56419.016312611879
50277,45489.934161702811
50278,34358.917462424732
50279,51008.74856814403
